"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"白髓 White Pulp","(-)-3,4,9-Trimethoxypterocarpan","C18H18O5","Phenylpropanoids and polyketides","Isoflavonoids","Furanoisoflavonoids","HMDB0030567",70.1609153838206,56.9363562740526,0.222260528548465,0,0
"白髓 White Pulp","(-)-erythro-Anethole glycol 1-glucoside","C16H24O8","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0033066",99.6525984089265,99.8928777892654,-0.368415978003436,0,0
"白髓 White Pulp","(-)-Fumigaclavine B","C16H20N2O","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0030201",78.4834865860798,78.8163253219138,-0.0718402592129594,0,0
"白髓 White Pulp","(-)-Quebrachamine","C19H26N2","Alkaloids and derivatives","Quebrachamine alkaloids",NA,"HMDB0030260",68.6456073285808,64.8261903505034,0.0937206357934462,0,0
"白髓 White Pulp","((2R,3S)-3-Amino-2-hydroxy-2-(1H-imidazol-4-ylmethyl)-5-methyl)-5-methylhexanoic Acid","C11H19N3O3","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242228",77.1240141887936,76.8395857769515,-0.0695770432817506,0,0
"白髓 White Pulp","(+)-Gallocatechin","C15H14O7","Phenylpropanoids and polyketides","Flavonoids","Flavans","HMDB0038365",92.1135103488652,93.2944328638582,-0.114546487919963,0,0
"白髓 White Pulp","(+)-Setoclavine","C16H18N2O","Alkaloids and derivatives","Ergoline and derivatives","Clavines and derivatives","HMDB0033428",77.2312050142921,79.6926159063608,-0.199132417216669,0,0
"白髓 White Pulp","(+/-)-(E)-Ethyl-2-[(E)-hydroxyimino]-5-nitro-3-hexeneamide","C8H13N3O4","Organic nitrogen compounds","Organonitrogen compounds","Oximes","HMDB0242267",81.8042497503186,81.5382852463618,-0.0363660181550133,0,0
"白髓 White Pulp","(±)-Naled","C4H7Br2Cl2O4P","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","HMDB0031806",87.9713813410476,78.0935079047694,0.129235761776474,0,0
"白髓 White Pulp","(1-Hydroxy-3-oxopropan-2-yl) dihydrogen phosphate","C3H7O6P","Organic acids and derivatives","Organic phosphoric acids and derivatives","Phosphate esters","HMDB0242284",84.0272755449943,81.8472916234809,0.113834163763564,0,0
"白髓 White Pulp","(10E,13E)-Nonadeca-10,13-dienoylcarnitine","C26H47NO4","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241565",58.5425491614147,60.5863653511149,-0.106940072899985,0,0
"白髓 White Pulp","(11S,14S,17R,20S,23R)-20-Benzyl-17-[3-(diaminomethylideneamino)propyl]-14-(1H-indol-3-ylmethyl)-2,5,13,16,19,22-hexaoxo-1,6,12,15,18,21-hexazabicyclo[21.3.0]hexacosane-11-carboxamide","C41H55N11O7","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0260063",87.9735337672625,85.1429733881133,0.100920212626326,0,0
"白髓 White Pulp","(1R,4R,5S,6R)-4-Amino-2-oxabicyclo[3.1.0]hexane-4,6-dicarboxylic acid","C7H9NO5","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242337",99.2780762475462,98.6438482624185,-0.0572829303852855,0,0
"白髓 White Pulp","(1R,9S,10S)-7,15-Diazatetracyclo[7.7.1.02,7.010,15]heptadeca-2,4-dien-6-one","C15H20N2O","Alkaloids and derivatives","Lupin alkaloids","Anagyrine-type alkaloids","HMDB0242345",74.6108413403589,73.7145012830202,-0.0540418874319865,0,0
"白髓 White Pulp","(1R)-1-Amino-2-sulfanylethanesulfinic acid","C2H7NO2S2","Organic acids and derivatives","Sulfinic acids and derivatives","Sulfinic acids","HMDB0242353",62.2158797396425,66.6798423552466,-0.0563802763564757,0,0
"白髓 White Pulp","(1S,3R,4R,5R)-1-[[(1R,2S)-2-(4-Chlorophenyl)cyclopropyl]methoxy]-3,4-dihydroxy-5-[(Z)-3-imidazo[4,5-b]pyridin-1-yl-3-phenylprop-2-enoyl]oxycyclohexane-1-carboxylic acid","C32H30ClN3O7","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","HMDB0260100",49.4059303647071,66.5030649570031,-0.31516149557923,0,0
"白髓 White Pulp","(1xi,3S)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-1,3-dicarboxylic acid","C14H14N2O4","Alkaloids and derivatives","Harmala alkaloids",NA,"HMDB0035115",90.0041326583325,90.4487416359055,-0.0912801929863929,0,0
"白髓 White Pulp","(1xi,3xi)-1,2,3,4-Tetrahydro-1-methyl-beta-carboline-3-carboxylic acid","C13H14N2O2","Alkaloids and derivatives","Harmala alkaloids",NA,"HMDB0037942",73.1071563866791,73.1030549142958,-0.0480120311744581,0,0
"白髓 White Pulp","(2-(2',6'-Dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane","C19H23NO5","Benzenoids","Benzene and substituted derivatives","Methoxybenzenes","HMDB0242457",96.7877191169887,98.0996107807175,-0.27097039234682,0,0
"白髓 White Pulp","(2-Ethylcrotonoyl)urea","C7H12N2O2","Organic acids and derivatives","Organic carbonic acids and derivatives","Ureas","HMDB0242468",77.9828322485105,77.7554034271382,-0.0591089970089733,0,0
"白髓 White Pulp","(22alpha)-Hydroxy-campest-4-en-3-one","C28H46O2","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","HMDB0012113",68.0265695491959,56.7443860622674,0.134807542554107,0,0
"白髓 White Pulp","(22alpha)-hydroxy-cholestanol","C27H48O2","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","HMDB0303958",58.5868891414402,48.9431338139241,0.0632500113707943,0,0
"白髓 White Pulp","(24E)-3alpha,15alpha-Diacetoxy-23-oxo-7,9(11),24-lanostatrien-26-oic acid","C34H48O7","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","HMDB0035388",67.2542790233151,63.1426206058328,0.05175402553723,0,0
"白髓 White Pulp","(2E,4E,6E,8E)-3,7-Dimethyl-9-(2-nonoxyphenyl)nona-2,4,6,8-tetraenoic acid","C26H36O3","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","HMDB0242652",91.4725178220891,88.6486507365296,0.323929594897886,0,0
"白髓 White Pulp","(2E)-2-{6-[(E)-2-Carboxyethenyl]-2,3-dihydroxyphenyl}-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","C18H14O8","Phenylpropanoids and polyketides","Stilbenes",NA,"HMDB0242743",87.8585942073906,84.1093470566499,0.180331460436693,0,0
"白髓 White Pulp","(2R,3R,4E)-2,3-Dihydroxy-5-(methylsulfanyl)pent-4-enoylcarnitine","C13H23NO6S","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241865",99.9410235217137,99.9115469245497,-0.151750090780923,0,0
"白髓 White Pulp","(2R,3S,4R,5R,8R,9S,10R,11R)-5-Amino-1,2,3,4,8,9,10,11-octahydroxydodecane-6,7-dione","C12H23NO10","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0242759",52.4537658849055,59.8059954962321,-0.159397693436737,0,0
"白髓 White Pulp","(2R,3S)-2-Octyl-3-pentyloxane","C18H36O","Organoheterocyclic compounds","Oxanes",NA,"HMDB0242702",66.9469125598374,55.4684472300797,0.0701542638192729,0,0
"白髓 White Pulp","(2R)-2-Amino-3-(1,2-dichloroethenylsulfanyl)propanoic acid","C5H7Cl2NO2S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0242510",60.5292385577023,49.9400656381046,0.10067491525093,0,0
"白髓 White Pulp","(2S,3R)-3-Butan-2-yl-N-hydroxy-N'-[(2S)-1-(methylamino)-1-oxo-3-phenylpropan-2-yl]-2-prop-2-enylbutanediamide","C21H31N3O4","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0248899",81.7642146227227,82.9152949143988,-0.0754592308134825,0,0
"白髓 White Pulp","(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-17-Acetyloxy-10,13-dimethyl-2-morpholin-4-yl-16-(1-prop-2-enylpyrrolidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-olate","C32H52N2O4",NA,NA,NA,"HMDB0242110",57.8184729827462,51.139267886641,0.0589571491750313,0,0
"白髓 White Pulp","(2S)-3-[[2-[(5R)-3-(4-Carbamimidoylphenyl)-4,5-dihydro-1,2-oxazol-5-yl]acetyl]amino]-2-[(3-methylphenyl)sulfonylamino]propanoic acid","C22H25N5O6S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","HMDB0250050",76.009057409512,69.1394043644576,0.0860989479701342,0,0
"白髓 White Pulp","(2S)-3-[3-[(4-Carbamimidoylbenzoyl)amino]propanoylamino]-2-[(4-ethylphenyl)sulfonylamino]propanoic acid","C22H27N5O6S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonamides","HMDB0258340",69.0442366635672,62.7076941300376,0.0492450339385903,0,0
"白髓 White Pulp","(2S)-4,5,7-Trihydroxy-2-(3,4,5-trihydroxyphenyl)-4H-chromen-3-one","C15H12O8","Phenylpropanoids and polyketides","Flavonoids","Hydroxyflavonoids","HMDB0255326",64.74541102731,65.33424833555,-0.0470969995197609,0,0
"白髓 White Pulp","(3-{[3-(2-Amino-2-Oxoethyl)-1-Benzyl-2-Ethyl-1h-Indol-5-Yl]oxy}propyl)phosphonic Acid","C22H27N2O5P","Organoheterocyclic compounds","Indoles and derivatives","N-alkylindoles","HMDB0254234",81.9011089299859,84.5102828309619,-0.145824370867053,0,0
"白髓 White Pulp","(3R,3'R,9-cis)-beta,beta-Carotene-3,3'-diol","C40H56O2","Lipids and lipid-like molecules","Prenol lipids","Tetraterpenoids","HMDB0003146",61.2812962771636,53.0932182112908,0.0993421242699035,0,0
"白髓 White Pulp","(3R,4S)-2-[6-(Cyclohexylamino)purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol","C16H23N5O4","Nucleosides, nucleotides, and analogues","Purine nucleosides",NA,"HMDB0243620",66.2413472466164,68.0716585788539,-0.101737642301501,0,0
"白髓 White Pulp","(3S)-4-[[(1S)-1-Carboxy-2-phenylethyl]amino]-3-[8-(diaminomethylideneamino)octanoylamino]-4-oxobutanoic acid","C22H33N5O6","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0257534",61.1073802390054,61.3205130020871,-0.0453049628905512,0,0
"白髓 White Pulp","(4Z,7R,8E,10Z,12E,14E,17S,19Z)-7,16,17-Trihydroxydocosa-4,8,10,12,14,19-hexaenoylcarnitine","C29H45NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241614",94.4854840376072,89.2298402308278,0.142728220975414,0,0
"白髓 White Pulp","(5Z,8Z,13E,15S)-11,12,15-Trihydroxyicosa-5,8,13-trienoylcarnitine","C27H47NO7","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241583",88.7423804111995,84.3314453902042,0.0747034155719728,0,0
"白髓 White Pulp","(5Z)-7-[(1R,2R,5S)-5-Hydroxy-2-[(1E,3S,5Z)-3-hydroxyocta-1,5-dien-1-yl]-3-oxocyclopentyl]hept-5-enoylcarnitine","C27H43NO7","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","HMDB0241876",99.8704239418673,98.1739010638832,0.206880113130993,0,0
"白髓 White Pulp","(6E,9E,12E)-hexadeca-6,9,12-trienedioylcarnitine","C23H37NO6","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","HMDB0241500",64.859059131453,77.043401233193,-0.396783186208525,0,0
"白髓 White Pulp","(6S)-6,7-Dihydro-2-nitro-6-[[4-(trifluoromethoxy)phenyl]methoxy]-5H-imidazo[2,1-b][1,3]oxazine","C14H12F3N3O5","Benzenoids","Benzene and substituted derivatives","Benzylethers","HMDB0248078",68.1673382236457,62.0191249196905,0.037328143492877,0,0
"白髓 White Pulp","(8S,11R,13R,14S,17S)-11-[4-(Dimethylamino)phenyl]-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,14,15,16-decahydrocyclopenta[a]phenanthren-3-one","C29H35NO2","Lipids and lipid-like molecules","Steroids and steroid derivatives","Oxosteroids","HMDB0260180",68.1643248269449,68.4514789173962,-0.102964349503631,0,0
"白髓 White Pulp","(8S,9R,11S,13S,14S,17S)-13-Methyl-11-[4-[5-(4,4,5,5,5-pentafluoropentylsulfonyl)pentoxy]phenyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol","C34H43F5O5S",NA,NA,NA,"HMDB0260184",77.2721011123739,66.429418437123,0.234480446567883,0,0
"白髓 White Pulp","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)","C7H7IO","Benzenoids","Phenol ethers","Anisoles","HMDB0062252",74.2492337362675,71.9724778320113,0.0844502980144658,0,0
"白髓 White Pulp","(E)-1-[(2R)-2-(2-Hydroxyethyl)piperidin-1-yl]-3-(2-phenylpyrazolo[1,5-a]pyridin-3-yl)prop-2-en-1-one","C23H25N3O2","Organoheterocyclic compounds","Azoles","Pyrazoles","HMDB0252279",61.6648586286462,61.790073942651,-0.0459280263089846,0,0
"白髓 White Pulp","(E)-N-[2-(3-Indolyl)ethyl]-3-(3,4-dihydroxyphenyl)acrylamide","C19H18N2O3","Organoheterocyclic compounds","Indoles and derivatives","Indoles","HMDB0243645",96.9396804077556,97.3121595296923,-0.126847255666645,0,0
"白髓 White Pulp","(N-acetylneuraminosyl(a2-6)lactosamine)","C25H42N2O19","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","HMDB0001081",55.7921789441058,47.3731239128447,0.0831577750034723,0,0
"白髓 White Pulp","(R)-(6-Methoxy-4-quinolyl)-(5-vinylquinuclidin-2-yl)methanol","C20H24N2O2","Alkaloids and derivatives","Cinchona alkaloids",NA,"HMDB0242153",49.0779006095671,38.5509918460942,0.12781513551332,0,0
"白髓 White Pulp","(S,E)-N-(4-(4-Acetylpiperazin-1-yl)benzyl)-3-(4-(tert-butyl)phenyl)-N-(1-(4-(4-cyanobenzyl)piperazin-1-yl)-1-oxo-3-phenylpropan-2-yl)acrylamide","C47H54N6O3","Organoheterocyclic compounds","Diazinanes","Piperazines","HMDB0247975",69.0648999552295,61.8203308170772,0.0864906537431941,0,0
"白髓 White Pulp","(S)-5-(4-Hydroxy-4-methylisoxazolidine-2-carbonyl)-1-isopropyl-3-methyl-6-((3-methyl-5-(trifluoromethyl)-1H-pyrazol-4-yl)methyl)thieno[2,3-d]pyrimidine-2,4(1H,3H)-dione","C21H24F3N5O5S","Organoheterocyclic compounds","Thienopyrimidines",NA,"HMDB0260207",42.6029720701174,50.4194117806106,-0.145137458976361,0,0
"白髓 White Pulp","(S)-N1-((1H-Benzo[d]imidazol-2-yl)methyl)-N1-(5,6,7,8-tetrahydroquinolin-8-yl)butane-1,4-diamine","C21H27N5","Organoheterocyclic compounds","Quinolines and derivatives","Aminoquinolines and derivatives","HMDB0246964",49.8919482040156,57.4511093972702,-0.106933764201835,0,0
"白髓 White Pulp","(S)-Spinacine","C7H9N3O2","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0029873",59.4568998174743,64.6862362121998,-0.0682513476263016,0,0
"白髓 White Pulp","[4-((1Z)-2-(Acetylamino)-3-{[1-(1,1'-biphenyl-4-ylmethyl)-2-oxoazepan-3-YL]amino}-3-oxoprop-1-enyl)-2-formylphenyl]acetic acid","C33H33N3O6","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0257349",45.3042669697283,51.4834237391574,-0.111357656905468,0,0
"白髓 White Pulp","[Leu8,des-Arg9]bradykinin","C41H63N11O10","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0247446",95.2780073699074,93.8612020605575,0.117466915497208,0,0
"白髓 White Pulp","{4-[2-Acetylamino-2-(1-biphenyl-4-ylmethyl-2-oxo-azepan-3-ylcarbamoyl)-ethyl]-2-phosphono-phenoxy}-acetic acid","C32H36N3O9P","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0257352",53.4701415435479,58.6423289810644,-0.134455807125941,0,0
"白髓 White Pulp","{4-[4-(6-Carbamoyl-3,5-dimethylpyrazin-2-yl)phenyl]cyclohexyl}acetic acid","C21H25N3O3","Organoheterocyclic compounds","Diazines","Pyrazines","HMDB0248788",91.8311120294796,92.3089600261626,-0.0911384874669803,0,0
"白髓 White Pulp","1-(1-Acetyl-piperidin-4-yl)-3-adamantan-1-yl-urea","C18H29N3O2","Organoheterocyclic compounds","Piperidines","N-acylpiperidines","HMDB0259461",80.638065227124,80.3671510770804,-0.124629824434032,0,0
"白髓 White Pulp","1-(11Z,14Z-eicosadienoyl)-glycero-3-phosphate","C23H43O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062303",77.3573371904811,66.8034449060942,0.165433028242816,0,0
"白髓 White Pulp","1-(2-Hydroxyethoxy)methyl-5-methyluracil","C8H12N2O4","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","HMDB0247200",74.8377070634019,74.7626766647397,-0.0417941036641253,0,0
"白髓 White Pulp","1-(2,2-Dichloroethyl)-1-nitrosourea","C3H5Cl2N3O2","Organic acids and derivatives","Organic carbonic acids and derivatives","Ureas","HMDB0258042",86.2240417398492,85.4841679295156,0.0646198357573193,0,0
"白髓 White Pulp","1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-1,4-pentanedione","C12H15NO2","Organoheterocyclic compounds","Pyrrolizines",NA,"HMDB0040046",68.3472810552054,66.9534417516542,-0.0395369781503129,0,0
"白髓 White Pulp","1-(4-Aminophenyl)-7,8-dimethoxy-3,5-dihydro-2,3-benzodiazepin-4-one","C17H17N3O3","Organoheterocyclic compounds","Benzodiazepines",NA,"HMDB0249842",87.5340083341943,87.457044894764,-0.082136768189729,0,0
"白髓 White Pulp","1-(4-Hydroxyphenyl)-4,8-dimethyl-10-(2,6,6-trimethylcyclohexen-1-yl)deca-3,5,7,9-tetraen-2-one","C27H34O2","Lipids and lipid-like molecules","Prenol lipids","Retinoids","HMDB0257688",74.6435582188243,65.3298707452075,0.0801757033336542,0,0
"白髓 White Pulp","1-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-glycero-3-phosphate","C25H39O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062307",99.407221820436,96.7665057687628,0.338793406057128,0,0
"白髓 White Pulp","1-(7Z,10Z,13Z,16Z-docosatetraenoyl)-glycero-3-phosphate","C25H43O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062310",93.7855150325447,89.6436512708531,0.234638750495048,0,0
"白髓 White Pulp","1-(D-3-Mercapto-2-methyl-1-oxopropyl)-L-proline","C9H15NO3S","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0247169",92.848348658608,94.2473312792993,-0.140514970628868,0,0
"白髓 White Pulp","1-[[4-(Dimethylamino)-3-methylphenyl]methyl]-5-(2,2-diphenylacetyl)-6,7-dihydro-4H-imidazo[4,5-c]pyridine-6-carboxylic acid","C31H32N4O3","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","HMDB0243806",49.3908633812033,51.8723855163561,-0.0739908454317046,0,0
"白髓 White Pulp","1-Benzyl-1,2,3,4-tetrahydroisoquinoline","C16H17N","Organoheterocyclic compounds","Isoquinolines and derivatives","Benzylisoquinolines","HMDB0004087",70.4110273099838,69.4252352632927,-0.0858461312958064,0,0
"白髓 White Pulp","1-Cycloheptyl-1-(9H-fluoren-2-ylmethyl)-3-(2,4,6-trimethylphenyl)urea","C31H36N2O","Benzenoids","Fluorenes",NA,"HMDB0259952",68.7273995247443,70.2402395829444,-0.0998776980700207,0,0
"白髓 White Pulp","1-Diethylcarbamyl-4-ethylpiperazine","C11H23N3O","Organoheterocyclic compounds","Diazinanes","Piperazines","HMDB0243863",59.2287426387024,53.7205011568426,0.0244914439038739,0,0
"白髓 White Pulp","1-Heneicosanoyl-glycero-3-phosphoserine","C27H54NO9P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","HMDB0243883",60.2266074318972,62.2036274773621,-0.0818765168787721,0,0
"白髓 White Pulp","1-heptadecanoyl-glycero-3-phosphate","C20H41O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062318",63.1465888349347,67.7689610819343,-0.120633801622556,0,0
"白髓 White Pulp","1-Hydroxybenzotriazole","C6H5N3O","Organoheterocyclic compounds","Benzotriazoles",NA,"HMDB0243899",46.076987980852,54.8967854324094,-0.14681059776966,0,0
"白髓 White Pulp","1-Isomangostin hydrate","C24H28O7","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans","HMDB0029984",85.4379756861935,87.5914626688108,-0.161746667360337,0,0
"白髓 White Pulp","1-Isopropyl-6-methylergoline-8-carboxylic acid","C19H24N2O2","Alkaloids and derivatives","Ergoline and derivatives","Lysergic acids and derivatives","HMDB0257856",92.6938044563832,91.5104360466239,-0.0555696776531542,0,0
"白髓 White Pulp","1-Methylanthraquinone","C15H10O2","Benzenoids","Anthracenes","Anthraquinones","HMDB0243936",73.2690188380342,75.2247699511899,-0.058528416896662,0,0
"白髓 White Pulp","1-Methylpyrene","C17H12","Benzenoids","Pyrenes",NA,"HMDB0243945",76.5996831628612,79.1678200758868,-0.0839837803638024,0,0
"白髓 White Pulp","1-Naphthalenyl[4-(pentyloxy)-1-naphthalenyl]methanone","C26H24O2","Benzenoids","Benzene and substituted derivatives","Benzophenones","HMDB0246670",58.5593380858904,59.2845472348436,-0.0563987998649552,0,0
"白髓 White Pulp","1-nonadecanoyl-glycero-3-phosphate","C22H45O7P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0062322",73.7193064021765,66.7679091727256,0.0550128918972045,0,0
"白髓 White Pulp","1-O-beta-D-Glucopyranosyl-2,3-di-O-palmitoylglycerol","C41H78O10","Lipids and lipid-like molecules","Glycerolipids","Glycosylglycerols","HMDB0031680",91.9262492681751,83.3462300578228,0.302259818654116,0,0
"白髓 White Pulp","1-palmitoyl-dihydroxyacetone-phosphate","C19H37O7P","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0062190",68.8845266384268,60.0991652965238,0.0924332789909028,0,0
"白髓 White Pulp","1-Piperideine-2-carboxylic acid","C6H9NO2","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines","HMDB0001084",77.3508799118366,68.7496700713161,0.085141282342569,0,0
"白髓 White Pulp","1-Pyrroline-5-carboxylic acid","C5H7NO2","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","HMDB0001301",83.652322898371,78.6707060666965,0.140164390644818,0,0
"白髓 White Pulp","1-Stearoylglycerophosphoglycerol","C24H49O9P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","HMDB0061697",78.1162826738299,70.3635846284778,0.139112205350267,0,0
"白髓 White Pulp","1,1-Bis(4-chlorophenyl)prop-2-yn-1-ol","C15H10Cl2O","Benzenoids","Benzene and substituted derivatives","Diphenylmethanes","HMDB0254919",77.7861004924751,83.1309556150965,-0.155051648359918,0,0
"白髓 White Pulp","1,1-Dichloroethylene epoxide","C2H2Cl2O","Organoheterocyclic compounds","Epoxides",NA,"HMDB0060333",95.6051761545614,95.9824020868231,-0.140430705711128,0,0
"白髓 White Pulp","1,1,1,3,3,3-Hexachloro-2-propanone","C3Cl6O","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0031489",89.1995557392293,87.7638624767119,-0.217668795075367,0,0
"白髓 White Pulp","1,1,2,2-Tetrachloroethane","C2H2Cl4","Organohalogen compounds","Organochlorides",NA,"HMDB0244045",99.104590694631,98.7290825214405,-0.0876627256377831,0,0
"白髓 White Pulp","1,2-Di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphate","C39H69O8P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","HMDB0031092",54.6845404139546,47.3471158761039,0.0951661466119824,0,0
"白髓 White Pulp","1,2-dibutyrin","C11H20O5","Lipids and lipid-like molecules","Glycerolipids","Diradylglycerols","HMDB0304007",52.1184178806351,61.3696965171119,-0.136871608396485,0,0
"白髓 White Pulp","1,2-Dichloroethane","C2H4Cl2","Organohalogen compounds","Organochlorides",NA,"HMDB0029571",93.7286909804732,94.1212824279661,-0.250414770121875,0,0
"白髓 White Pulp","1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'D-myo-inositol-3'-phosphate)","C41H80O16P2","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositol phosphates","HMDB0244745",93.7519371835933,89.3006541922509,0.0856508837929407,0,0
"白髓 White Pulp","1,2,3-Trihydroxybenzene","C6H6O3","Benzenoids","Phenols","Benzenetriols and derivatives","HMDB0013674",73.057650583738,60.3470141615048,0.129198238420369,0,0
"白髓 White Pulp","1,2,3,4-Tetrachlorodibenzo-P-dioxin","C12H4Cl4O2","Organoheterocyclic compounds","Benzodioxins","Benzo-p-dioxins","HMDB0244113",41.1134931294555,50.6431838987077,-0.127075280180531,0,0
"白髓 White Pulp","1,2,3,4-Tetrachloronaphthalene","C10H4Cl4","Benzenoids","Naphthalenes","Chloronaphthalenes","HMDB0244114",79.2084237352344,77.9109366369548,0.116507891386462,0,0
"白髓 White Pulp","1,2,3,4-Tetrafluorobenzene","C6H2F4","Benzenoids","Benzene and substituted derivatives","Halobenzenes","HMDB0244115",66.4234425043909,61.7258263667416,0.0347221183089313,0,0
"白髓 White Pulp","1,2,3,5-Tetrachloro-4-methoxybenzene","C7H4Cl4O","Benzenoids","Phenol ethers","Anisoles","HMDB0029627",83.0182181354823,81.6321459334117,0.174845742183729,0,0
"白髓 White Pulp","1,2,4,5-Tetrathiane","C2H4S4","Organoheterocyclic compounds","Tetrathianes",NA,"HMDB0031185",94.3455763336433,94.7390376768901,0.310409054306938,0,0
"白髓 White Pulp","1,2,4,5,7-Pentathiocane","C3H6S5","Organosulfur compounds","Organic disulfides",NA,"HMDB0039431",95.1368082102146,94.9579171940161,0.345079066299275,0,0
"白髓 White Pulp","1,3-Bis(4-nitrophenyl)urea","C13H10N4O5","Benzenoids","Benzene and substituted derivatives","N-phenylureas","HMDB0244158",77.7951406825774,69.9611038222801,0.0631589184641814,0,0
"白髓 White Pulp","1,3-Diacetylpropane","C7H12O2","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","HMDB0029165",71.9315011881393,61.1115474395603,0.111826324638197,0,0
"白髓 White Pulp","1,3-Dichloro-2-propanol","C3H6Cl2O","Organohalogen compounds","Halohydrins","Chlorohydrins","HMDB0244163",70.2801597961222,68.2964607182081,-0.114600698014811,0,0
"白髓 White Pulp","1,3,5-Trichloro-(2-methylsulfonyl)benzene","C7H5Cl3O2S","Benzenoids","Benzene and substituted derivatives","Benzenesulfonyl compounds","HMDB0037120",67.1234115094535,60.2200640415717,0.0668219731495655,0,0
"白髓 White Pulp","1,4-Dimethyl-7-ethylazulene","C14H16","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids","HMDB0036470",73.0834796983159,71.8721795121047,-0.0573502482581879,0,0
